Area,Values,Percentage
Alaska,2863,0.55%
Northwest,18048,3.50%
Northern California,30898,5.99%
Southern California,37235,7.22%
Northern Rockies,16248,3.15%
Great Basin,10072,1.95%
Western Great Basin,1424,0.28%
Southwest,15668,3.04%
Rocky Mountains,18282,3.54%
Eastern Area,88956,17.24%
Southern Area,276319,53.55%
