Area,Values,Percentage
Alaska,623068,2%
Northwest,2705204,10%
Northern California,2705331,10%
Southern California,2101124,7%
Northern Rockies,738091,3%
Great Basin,3006309,11%
Western Great Basin,172464,1%
Southwest,2916908,10%
Rocky Mountains,2764316,10%
Eastern Area,722955,3%
Southern Area,9151753,32%
