Area,Values,Percentage
Alaska,1815,2.44%
Northwest,11846,15.90%
Northern California,3779,5.07%
Southern California,2085,2.80%
Northern Rockies,9574,12.85%
Great Basin*,10048,13.49%
Western Great Basin*,2108,2.83%
Southwest,10464,14.04%
RockyMountains,10113,13.57%
Eastern Area,944,1.27%
Southern Area,11728,15.74%
